variable ,sum,mean,median,standard deviation,min,max,skew
total_nc_sur,100,0.12484394506866417,0.0,1.3544745310626163,0,26,16.292057568516103
total_nc_k,680,0.84893882646691632,0.0,9.1556605085770677,0,232,21.31306955681026
total_sur_nc,54,0.06741573033707865,0.0,0.79351267176519114,0,16,16.250610267202013
total_sur_k,589,0.73533083645443198,0.0,1.7431478612205642,0,27,7.671037677012746
total_k_nc,353,0.44069912609238454,0.0,5.6554673654535019,0,132,18.651870455944685
total_k_sur,539,0.67290886392009985,0.0,1.2312524820647446,0,8,2.237686725014805
file_unmod_nc_sur,98,0.12234706616729088,0.0,1.3519348448108515,0,26,16.380570777188847
file_unmod_nc_k,511,0.63795255930087391,0.0,8.5413736584217279,0,232,25.022545672547636
file_unmod_sur_nc,47,0.058676654182272157,0.0,0.69260603352100847,0,16,17.597516510340547
file_unmod_sur_k,571,0.71285892634207237,0.0,1.7331163624857828,0,27,7.81223963006124
file_unmod_k_nc,217,0.27091136079900124,0.0,2.8900389075709998,0,47,13.109803752810581
file_unmod_k_sur,521,0.65043695380774036,0.0,1.2096792050410816,0,8,2.276200386865002
class_unmod_nc_sur,97,0.12109862671660425,0.0,1.3506614799677881,0,26,16.426705260096554
class_unmod_nc_k,513,0.6404494382022472,0.0,8.5385553893841362,0,232,25.049596938897032
class_unmod_sur_nc,48,0.059925093632958802,0.0,0.70411985018726586,0,16,17.317750823516953
class_unmod_sur_k,577,0.72034956304619224,0.0,1.7408072453092795,0,27,7.721563690054638
class_unmod_k_nc,219,0.27340823970037453,0.0,3.0556886217660555,0,47,13.386880594230046
class_unmod_k_sur,524,0.65418227215980029,0.0,1.2112706720358433,0,8,2.2615807479868493
method_unmod_nc_sur,98,0.12234706616729088,0.0,1.3528579761065513,0,26,16.35274187164087
method_unmod_nc_k,643,0.80274656679151057,0.0,9.1041164467835944,0,232,21.662856136203825
method_unmod_sur_nc,53,0.066167290886392005,0.0,0.79125458116431124,0,16,16.37872352389756
method_unmod_sur_k,584,0.72908863920099876,0.0,1.7432632001943456,0,27,7.679392920291634
method_unmod_k_nc,330,0.41198501872659177,0.0,5.5017923471343897,0,128,18.7169164012978
method_unmod_k_sur,532,0.66416978776529334,0.0,1.2171586778547954,0,8,2.232752771690097
file_mod_nc_sur,2,0.0024968789013732834,0.0,0.049906357281664621,0,1,19.93746481197927
file_mod_nc_k,169,0.21098626716604243,0.0,2.6097252381788554,0,67,21.844182333579155
file_mod_sur_nc,7,0.0087390761548064924,0.0,0.21474610176523862,0,6,27.233769471538587
file_mod_sur_k,18,0.02247191011235955,0.0,0.2223344131783645,0,4,12.645227998850842
file_mod_k_nc,136,0.16978776529338327,0.0,3.7799835628255183,0,105,26.81323246152012
file_mod_k_sur,18,0.02247191011235955,0.0,0.27276616413532767,0,6,16.361907445372374
class_mod_nc_sur,3,0.0037453183520599251,0.0,0.061084293746442281,0,1,16.2481924963516
class_mod_nc_k,167,0.20848938826466917,0.0,2.5781619792423309,0,67,22.362241057294824
class_mod_sur_nc,6,0.0074906367041198503,0.0,0.18000921109659804,0,5,26.843407313421242
class_mod_sur_k,12,0.014981273408239701,0.0,0.15730337078651685,0,3,13.184510312061335
class_mod_k_nc,134,0.16729088639200998,0.0,3.2590186059130173,0,89,25.645423173521497
class_mod_k_sur,15,0.018726591760299626,0.0,0.24662288588995249,0,6,19.496706507996358
method_mod_nc_sur,2,0.0024968789013732834,0.0,0.049906357281664621,0,1,19.93746481197927
method_mod_nc_k,37,0.046192259675405745,0.0,0.56010843251088471,0,13,18.132116169050438
method_mod_sur_nc,1,0.0012484394506866417,0.0,0.035311200059253305,0,1,28.248915908402594
method_mod_sur_k,5,0.0062421972534332081,0.0,0.078760600727028729,0,1,12.538192908351473
method_mod_k_nc,23,0.02871410736579276,0.0,0.49509400301705747,0,13,23.39418458696039
method_mod_k_sur,7,0.0087390761548064924,0.0,0.15376598489590174,0,4,22.836393529166873
