variable ,sum,mean,median,standard deviation,min,max,skew
total_nc_sur,24,0.067039106145251395,0.0,0.39688402768517073,0,5,8.067255519144803
total_nc_k,54,0.15083798882681565,0.0,0.89669590362886242,0,13,10.183370867518569
total_sur_nc,11,0.030726256983240222,0.0,0.34520664677172047,0,6,15.145916016258298
total_sur_k,1467,4.0977653631284916,2.0,6.4465092135137452,0,73,5.977858673833444
total_k_nc,47,0.13128491620111732,0.0,1.310496525095143,0,18,11.328873138351522
total_k_sur,1528,4.2681564245810053,3.0,7.2026254103866174,0,77,6.804029470221957
file_unmod_nc_sur,15,0.04189944134078212,0.0,0.34402931366223105,0,5,10.951992214715782
file_unmod_nc_k,16,0.044692737430167599,0.0,0.25503267509526989,0,2,6.204693392089195
file_unmod_sur_nc,2,0.0055865921787709499,0.0,0.07453443611243761,0,1,13.26671089522675
file_unmod_sur_k,1393,3.8910614525139664,2.0,6.3494053292674373,0,73,6.23062113648569
file_unmod_k_nc,4,0.0111731843575419,0.0,0.12897649587279547,0,2,12.75868962445012
file_unmod_k_sur,1425,3.9804469273743015,2.0,6.9380464963655859,0,77,7.390315242807462
class_unmod_nc_sur,16,0.044692737430167599,0.0,0.34771768311945095,0,5,10.641499795159488
class_unmod_nc_k,26,0.072625698324022353,0.0,0.4028936252983864,0,4,6.970602621061841
class_unmod_sur_nc,8,0.0223463687150838,0.0,0.3250321387215388,0,6,17.526924974094136
class_unmod_sur_k,1339,3.7402234636871508,2.0,5.2338714166408309,0,52,4.754427527924948
class_unmod_k_nc,15,0.04189944134078212,0.0,0.59413217398764551,0,11,17.648703278038013
class_unmod_k_sur,1365,3.8128491620111733,2.0,5.8094656178479447,0,72,7.010465295836415
method_unmod_nc_sur,19,0.053072625698324022,0.0,0.36613495432882931,0,5,9.521453441015483
method_unmod_nc_k,34,0.094972067039106142,0.0,0.55120728269272046,0,7,8.251187094846646
method_unmod_sur_nc,8,0.0223463687150838,0.0,0.3250321387215388,0,6,17.526924974094136
method_unmod_sur_k,1433,4.0027932960893855,2.0,6.0839098183605476,0,68,5.631430684077743
method_unmod_k_nc,15,0.04189944134078212,0.0,0.59413217398764551,0,11,17.648703278038013
method_unmod_k_sur,1509,4.2150837988826817,3.0,6.956857986021455,0,75,6.748464509262197
file_mod_nc_sur,9,0.025139664804469275,0.0,0.20314388643102471,0,2,8.623260463681067
file_mod_nc_k,38,0.10614525139664804,0.0,0.85868302508041316,0,13,11.548021982452775
file_mod_sur_nc,9,0.025139664804469275,0.0,0.33748057265318743,0,6,16.1274429422171
file_mod_sur_k,74,0.20670391061452514,0.0,0.97840354319506739,0,7,5.375212944205404
file_mod_k_nc,43,0.12011173184357542,0.0,1.3051629273181202,0,18,11.484157283480728
file_mod_k_sur,103,0.28770949720670391,0.0,2.1136467478805456,0,37,14.936872257823829
class_mod_nc_sur,8,0.0223463687150838,0.0,0.19648609379965337,0,2,9.231370658135896
class_mod_nc_k,28,0.078212290502793297,0.0,0.80120380075966735,0,13,13.642422447547434
class_mod_sur_nc,3,0.0083798882681564244,0.0,0.11788239020116865,0,2,15.132998229806594
class_mod_sur_k,128,0.35754189944134079,0.0,2.2585867416314764,0,29,9.299751235698167
class_mod_k_nc,32,0.089385474860335198,0.0,1.1712807114609278,0,18,13.729459549530976
class_mod_k_sur,163,0.45530726256983239,0.0,3.0766669716095478,0,37,9.912601394595741
method_mod_nc_sur,5,0.013966480446927373,0.0,0.13913306598226,0,2,11.10608045389361
method_mod_nc_k,20,0.055865921787709494,0.0,0.51481591211210154,0,7,11.506011422930815
method_mod_sur_nc,3,0.0083798882681564244,0.0,0.11788239020116865,0,2,15.132998229806594
method_mod_sur_k,34,0.094972067039106142,0.0,0.65751128401360881,0,9,9.508273519746465
method_mod_k_nc,32,0.089385474860335198,0.0,1.1712807114609278,0,18,13.729459549530976
method_mod_k_sur,19,0.053072625698324022,0.0,0.53896139545143718,0,9,13.85235008429469
